model,display_name,group,n_runs,accuracy_mean,accuracy_std,auc_macro_mean,auc_macro_std,f1_macro_mean,f1_macro_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,inference_ms_per_image_mean,inference_ms_per_image_std,model_size_mb_mean,model_size_mb_std
efficientnet_b0,EfficientNet-B0 (pretrained),original,3,0.7774086378737541,0.017631985966877782,0.9340385803533744,0.0014124890695977905,0.7794674191876737,0.01723008724867635,0.7827593722844123,0.017191688551957022,0.7830744682248921,0.01674786470212702,53.65403333333333,0.5309630893218683,15.729999999999999,1.7763568394002505e-15
efficientnet_b1,EfficientNet-B1 (pretrained),original,3,0.7873754152823921,0.0027126132256734808,0.9417752512158222,0.0018737123600044345,0.7884896431537577,0.0029156457494166443,0.7894961144017443,0.002397499163970965,0.7939721103994138,0.002061718689203704,72.6048,0.4102890282065337,25.47,0.0
mobilenetv2,MobileNetV2 (pretrained),original,3,0.761904761904762,0.013720389472163749,0.9341500592670945,0.00242249745903821,0.7628600271518388,0.01446105675848711,0.7696504322512304,0.008458480389446132,0.765655709372253,0.012526233850158405,29.869566666666667,0.09605124789518489,8.85,0.0
mobilenetv3,MobileNetV3-Large (pretrained),original,3,0.7790697674418604,0.009494146289857315,0.9405581003336415,0.001103417540738969,0.7797494573809285,0.009618089167570298,0.7866934441785928,0.010354513270840669,0.7888126442366739,0.008715532604290005,35.780833333333334,0.2619977904911059,11.68,0.0
mobilenetv3_small,MobileNetV3-Small (pretrained),original,3,0.7807308970099668,0.004698383928149848,0.9444037091990162,0.002114924590222267,0.7813528476318349,0.005084705271396456,0.7834236889016467,0.0033098839283475473,0.7872115065401594,0.005736216754754,20.401500000000002,0.05763956974162728,3.78,0.0
shufflenetv2,ShuffleNetV2-1.0x (scratch),original,3,0.6323366555924695,0.009232188261646207,0.8707517563496383,0.003558389976922052,0.6323918539887357,0.009594946848645421,0.6347897580235909,0.011672658587111003,0.6373356781262253,0.01165707261935479,3.2827,0.15025939793126636,5.29,0.0
squeezenet,SqueezeNet 1.1 (scratch),original,3,0.2707641196013289,0.0,0.5,0.0,0.10653594771241831,0.0,0.06769102990033223,0.0,0.25,0.0,0.8845666666666667,0.030631828037008958,2.8800000000000003,4.440892098500626e-16
mobilevit,MobileViT-S (scratch),original,3,0.46456256921373207,0.05360986685474921,0.7522226316721717,0.034737399338645815,0.43276084258861797,0.0738592583191509,0.4798239853977618,0.030126992485855167,0.468544445141661,0.04537726555306488,5.568366666666667,0.08541199499419781,15.99,0.0
efficientnet_b1_ft,EfficientNet-B1 (fine-tuned [FT]),finetuned,3,0.8039867109634552,0.008470132082380002,0.957074653043701,0.005320462463257998,0.8052195268024693,0.009116881349319936,0.8095758809669303,0.007941972983328636,0.8087470006280312,0.008137498945764297,48.60229999999999,2.1819407981580667,28.49,0.0
mobilenetv3_small_ft,MobileNetV3-Small (fine-tuned [FT]),finetuned,3,0.7868217054263565,0.01841449518085924,0.9563664722138466,0.00330803502861123,0.7892992476277151,0.017658548794989484,0.8055162135195676,0.006930986315784583,0.7922758763877962,0.017712648367920875,47.32560000000001,0.30338909011366816,4.48,0.0
